trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.25,0.1666666666666666,0.0,2.0,0.25,0.3333333333333333,1.0,1.3333333333333333,0.75,1.0,1.5,0.0,1.3333333333333333,1,0.999674194982225
0.75,0.1666666666666666,0.1666666666666666,3.0,0.0,0.8333333333333334,2.0,1.0,2.0,2.0,2.8333333333333335,3.0,1.6666666666666667,4,0.9993941231198791
1.125,0.3333333333333333,0.0,2.0,0.0,1.3333333333333333,2.0,0.0,0.375,1.5,2.3333333333333335,3.0,2.6666666666666665,1,0.7712267821395852
1.25,0.1666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,1.5,0.0,0.375,2.5,3.0,1.6666666666666667,2.6666666666666665,4,0.526088229280641
1.625,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.1666666666666667,2.1666666666666665,0.0,0.3333333333333333,2,0.9999993817349948
1.75,0.0,0.0,1.6666666666666667,0.0,1.1666666666666667,0.0,0.0,0.0,2.3333333333333335,2.0,4.0,0.6666666666666666,2,0.9999993562831355
1.5,0.5,0.0,0.6666666666666666,1.5,2.0,0.0,2.0,1.0,1.3333333333333333,3.5,3.5,2.6666666666666665,1,0.9999708916500034
1.75,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,1.0,0.625,0.3333333333333333,1.6666666666666667,0.0,0.0,2,0.9999995815395553
1.0,0.0,0.0,0.6666666666666666,0.25,0.3333333333333333,0.0,0.0,0.375,2.6666666666666665,2.6666666666666665,0.0,2.0,1,0.9998064810945967
1.25,0.0,0.0,1.3333333333333333,0.25,1.1666666666666667,0.0,0.3333333333333333,0.125,1.8333333333333333,2.8333333333333335,0.0,1.0,1,0.9997999713886379
2.5,0.3333333333333333,0.0,2.6666666666666665,0.5,1.8333333333333333,0.5,0.0,0.75,2.1666666666666665,1.5,1.0,0.0,1,0.9981925085097921
1.75,0.0,0.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.3333333333333333,1.8333333333333333,4.0,1.0,2,0.9999987544328887
1.5,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,2.1666666666666665,2.3333333333333335,2.6666666666666665,3.3333333333333335,2,0.9999998309596628
1.25,0.3333333333333333,0.0,3.0,0.0,1.3333333333333333,0.0,0.0,0.25,1.3333333333333333,2.0,2.5,2.3333333333333335,4,0.7547933414053773
1.125,0.0,0.0,2.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.1666666666666665,1.1666666666666667,0.0,1.0,2,0.9999996279973636
1.375,0.1666666666666666,0.3333333333333333,2.0,0.0,1.0,0.0,0.0,1.125,1.8333333333333333,1.3333333333333333,2.0,1.6666666666666667,4,0.9997052575215686
1.0,0.6666666666666666,0.1666666666666666,0.0,1.75,1.1666666666666667,1.0,0.0,1.5,2.0,4.0,3.0,3.0,3,0.99389594922184
